id,channel,category,title,content,view_cnt,like_cnt,comment_cnt,created_at,own_company,url
26,mam2bebe,의류,"캉골키즈 2레이어 후디드 웜업 점퍼 73,470원 무배","두툼한 패딩점퍼! 초겨울까지 문제없이 입겠네요
엉덩이 덮어주는 길이감 딱 좋은 길이죠
블랙인데도 배색 절개가 멋져요 초딩취향ㅋ
방풍도 되고 생활방수도 된다네요 ​",12000,123,28,2025-10-17 20:21:00,0,
27,mam2bebe,의류,"타미힐피거 키즈 긴팔티 2팩세트 30,542원(개당 15,271원)","신상인데도 할인 먹혀서요!
네이비+화이트/그레이+블랙 중에 택
걍 기본티라 활용도는 넓어요 페이코에서 ssf 검색해서 7퍼도 받으세요!!",7275,123,23,2025-10-18 0:08:00,0,
28,mam2bebe,의류,"래핑차일드 퀼팅 패딩 4가지색상 22,720원","최근 래핑에서 본거중에 젤 저렴한거 같아요!
사이즈는 조금 크게 나와서 바로 입히시는거면 한치수 작게보시면 될듯용~",6720,122,27,2025-10-18 9:57:00,0,
29,mam2bebe,의류,"레프트서울 레더하프 자켓 45,150원 무배","후기가 많은데 다 좋아서
계속 째려보던거에요
어제까지 8만원대였어요
쿠폰 붙어서 드디어 사보네요
30% 쿠폰 적용하시면 돼요",11000,351,103,2025-10-18 10:39:00,0,
30,mam2bebe,의류,"베네통키즈 프린팅 맨투맨/팬츠 19,430원(2개무배)","저는 이미 잘 입히고 있어요ㅋㅋ
지금 입기에 딱 잘맞는 두께요! 원단도 좋아서
세탁해도 말짱~~ 맨투맨만 따로 팬츠만 따로
사도 되지만 아무래도 세트세트가 이쁘죵❤️
소재 부드러워서 편하게 입는 상하복이에요~",9893,87,24,2025-10-18 11:06:00,0,
31,mam2bebe,의류,"폴햄 퀼팅 롱 패딩 27,480원 무배","15프로 쿠폰 받아서 쓰니까
27,480원 무배 나와용!
라이트베이지, 블랙, 카키
세가지 컬러 있어요 ㅎㅎ",8180,78,17,2025-10-18 12:09:00,0,
32,mam2bebe,의류,핫딜 공용 핫스킨세트6040(110~130),"흑 140은 없네요
사이즈 맞는분들 얼른 사세요
sbk랑 cpp만 130있어요
110~130",4407,47,22,2025-10-18 13:37:00,0,
33,mam2bebe,의류,탑텐 키즈 베이직 바람막이 점퍼 12000원,"컬러많이있는제
벌써 사이즈 품절도 많아용
가격 완전 싸네요",7181,35,6,2025-10-18 17:49:00,0,
34,mam2bebe,의류,"탑텐밸런스 수퍼스트레치팬츠/바람막이/점퍼 10,960원~ 3만무배","전 탑텐몰 서버터지고 선착 쿠폰 포기요ㅠ 
그냥 맘편하게 살래요ㅋ 가성비좋아 만원대로
어른옷 살수있으니 너무 좋아요
세트사도 하나값! 밸런스꺼는 질도 보장이에요",11000,194,15,2025-10-18 20:14:00,0,
35,mam2bebe,잡화,"스케쳐스 키즈 방한 부츠 스케치라이트 프로 부츠 42,140원 /블랙품절","애들부츠 두가지 색상 있고,
품절된 사이즈도 있는거 같아요

카카오페이머니 결제할인되네요
두켤레 사면 10프로 할인 된다고하니

참고하세요",8071,128,19,2025-10-18 20:58:00,0,
36,mam2bebe,의류,"노스페이스 NJ3NR51 키즈 뉴퍼피 온 자켓 132,810원","날이 갑자기 추워져서 겨울옷 미리 준비해두려구요
100 - 160 사이즈 다양하고

흰색,검정,핑크,카키 네가지 색상으로
무난한 디자인이라 막 입히기 좋을 것 같네요

15%쿠폰이랑 현대,롯데카드 결제시
결제 할인 7% 적용하면 제목가 나오네요 ㅎㅎ",9383,85,9,2025-10-18 21:30:00,0,
37,mam2bebe,의류,"베베쥬 포근레이어드 상하복 13,700원","기모 상하복들 싸게 풀렷는데
쓱 보니까 예쁜거 많이 나온거 같아요!!
이건 레이어드 느낌이라 더 이쁘길래 공유요~​",5004,72,17,2025-10-19 0:19:00,0,
38,mam2bebe,의류,"밀리밤 코듀로이 부츠컷 바지 8,420원","부츠컷 바지인데 적당한 두꺼워서 지금 입히기 좋아요
브라운이랑 블랙 중에 고민하다가 결국 블랙으로 골랐어요^^",5456,75,9,2025-10-19 0:31:00,0,
39,mam2bebe,의류,여성 와이드핏 슬랙스 26730원,"바지 필요하신분~
갑자기 날씨가 쌀쌀해져서 긴바지 샀어요.
두개샀는데 하나값도 안되서 공유해요.

고무줄 끈이구요. 프로젝트엠 바지 몇번입어봤는데 
재질 괜찮아요~ 

쿠폰 다 받고, 라운지 가입하고 나면 하나에 3만원도 
안되네요:)",6376,91,11,2025-10-19 8:04:00,0,
40,mam2bebe,의류,"베베쥬 어게인 조거팬츠 7,790(실사) 맘에들어요!!!!!","키110 / 18키로. 110사이즈 기장딱맞아요 ( 건조기 돌림) 

이제 쌀쌀해져서 그런지 지금입기 딱좋운 두께입니다 
허리 고무줄도 편할꺼같아요

가성비 좋네요!! 
​쿠팡에 사이즈가 없어요 ㅠ (재입고 알람 해둬야 할꺼같아요) 

롯데온 공홈에 사이즈있으면 사세요!!!",12000,247,39,2025-10-19 9:09:00,0,
41,mam2bebe,의류,"여자 덕다운 어니언퀼팅 경량 패딩 글로시 라인 36,000원","전 브라운 있는데 글로시라고 해도 그렇게 튀지 않아요! 브라운 잘 입었어서 이번에 블랙 구매했어요😉

가을 이벤트 적립금 3000p 받아서 사용하면 36,0000원",7288,51,7,2025-10-19 10:39:00,0,
42,mam2bebe,의류,"꼼파뇨 크래킹 후드 윈드브레이커 34,650원 (후드 집업도 세일 중)","한참 쌀때는 3만원 이하로도 내려가던데
그래도 4만원 후반대였다가 3만원대로 떨어져서 공유합니다.
그래이 블랙 두가지 색상 있어요.

배송느림 주의!!!
이 옷은 세일 자주 하지만 그래도 세일 중이니 공유.
24,300원이요.

문제시ㅜ알려주시면 수정할께요!",11000,197,38,2025-10-19 11:25:00,0,
43,mam2bebe,의류,"탑텐키즈 여아 베이직 모크넥 긴팔티 7,620원","둘다 여아용인데 기본템으로 이뻐요 ㅎㅎ
1번이 기본 터틀넥에 겉에만 기모로 따듯하게나온거
2번은 몸에 살짝 붙는핏으로 나온재질이요
둘다 목부분은 애들 불편하지않게 나왔구요 :)",6872,204,34,2025-10-19 20:26:00,0,
44,mam2bebe,의류,"탑텐키즈 밸런스 베스트웜 미디다운 점퍼 44,104원(유클)","유클이시면 7% 적용해서 득템하새요 ㅎㅎ
다음주부터 기온 훅훅떨어져서 준비할라구요
블랙 마침 사이즈도 있어서 사고 올려봐요 :)",7369,135,40,2025-10-19 21:54:00,0,
45,mam2bebe,잡화,"내셔널지오그래픽키즈 미뇽 스니커즈 운동화 20,860원 무배","기모안감 있어 한겨울에도 신을수 있겠네요
앞코가 코듀로이라서 따뜻해보여요^^
추워지는 요즘부터 한겨울까지 신을 운동화요
사이즈는 200~230까지 있어요",8832,115,44,2025-10-19 22:11:00,0,
46,mam2bebe,의류,"구스는 구스! 내셔널지오그래픽키즈 카이만 롱 헤비다운 131,690원","사이즈 넉넉하니 커요ㅎㅎ 업하면 내년에 입어요ㅜ
첨에 꺼낼때 안 빵빵한가?했는데 ...
건조기 패딩케어 돌리니깐 부풀어서 빵빵해졌어요
물어보니 처음 받으면 압축되어서 그렇데요
제기준엔 가볍고 괜찮아 만족~ 겨울에 잘입히겠어요",13000,231,103,2025-10-19 22:24:00,0,
47,mam2bebe,의류,"비너스 노와이어브라 2장 15,970원 무배 초핫딜","예전에 핫딜방에서 보고 최애템된거요ㅋㅋ

부유방커버 잘되구 편해요,,,
좀 더 볼륨 잇는거 원하시면 저중심 추천요!",3020,133,39,2025-10-20 0:10:00,0,
48,mam2bebe,의류,"탑텐키즈 베이직 에코 플리스 베스트 14,110원","가볍고 따뜻해서 활용도 무궁무진해요
외출용으로 샀지만 실내에서도 자주입을듯요
잘 안보이지만 주머니도 있어요
사이즈 빠진거없이 다 있습니당😄",2863,76,5,2025-10-20 10:35:00,0,
49,mam2bebe,의류,"KARRA 글로시 가죽 터치패딩 22,100원 무배","글로시라 빤딱반딱한 유광 느낌있어요~
넘 부해보이지 않고 숏이라 더 예쁜거 같네요ㅎㅎ

가을겨울템 구경 가세요~~",4391,63,9,2025-10-20 10:35:00,0,
